zuid,url,body,contact_name,contact_number,county,division,email,form_embed,gdos_id,image,name,og_image,properties_types,service_image,service_type,state,territory
7-989cd1f2ad-bqw2bz,/in/connersville/fayette-county-service-extension/,,,,,7-e4a1c59bd4-02km0q,,,402818763d5b8722013d5c814303196e,,Fayette County Service Extension,,7-88e8a8c4ce-mjl8hp,,,7-f0d4b4e1bc-b7wkz8,7-ec8a80fdbe-46hzww
7-b0c9cca39d-pktvbw,/in/bedford/lawrence-county-service-extension/,,,,,7-e4a1c59bd4-02km0q,,,402818763d5b8722013d5c74fac518b4,,Lawrence County Service Extension,,7-88e8a8c4ce-mjl8hp,,,7-f0d4b4e1bc-b7wkz8,7-ec8a80fdbe-46hzww
7-def5ebc493-drc7b4,/in/seymour/jackson-county-service-extension-seymour/,,,,,7-e4a1c59bd4-02km0q,,,402818763d5b8722013d5c71fd12187e,,Jackson County Service Extension - Seymour,,7-88e8a8c4ce-mjl8hp,,,7-f0d4b4e1bc-b7wkz8,7-ec8a80fdbe-46hzww
7-96f0fc9083-kh0bnj,/in/monticello/white-county-service-extension/,,,,,7-e4a1c59bd4-02km0q,,,402818763d5b8722013d5c19d9a1142e,,White County Service Extension,,7-88e8a8c4ce-mjl8hp,,,7-f0d4b4e1bc-b7wkz8,7-ec8a80fdbe-46hzww
7-d8eef1adf2-1pd0xf,/ne/lexington/lexington-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5c13ccba13d1,,"Lexington, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-c0b399b1e1-nqn9w2,/ia/humboldt/humboldt-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5c13510213c8,,"Humboldt, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-86e2f8d2d0-v6jrhd,/ia/denison/denison-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5c107ae5137a,,"Denison, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-9cfccdbcbf-320f60,/in/crawfordsville/montgomery-county-service-extension/,,,,,7-e4a1c59bd4-02km0q,,,402818763d5b8722013d5c0fb2911365,,Montgomery County Service Extension,,7-88e8a8c4ce-mjl8hp,,,7-f0d4b4e1bc-b7wkz8,7-ec8a80fdbe-46hzww
7-ace2ecedae-vl46mb,/ne/nebraska-city/nebraska-city-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5c0e4f40134d,,"Nebraska City, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-96909b819e-k0rj1f,/ia/northwood/northwood-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bf270ca1164,,"Northwood, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-deb6a5d88c-c22dk4,/ia/forest-city/forest-city-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bf1c5861152,,"Forest City, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-dccfc98cfc-z8t7xp,/sd/vermillion/vermillion-sd-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5beb651a10b9,,"Vermillion, SD: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-e6dababde7-b5mdhc,7-ec8a80fdbe-46hzww
7-b8af8eb6eb-mr6n0m,/ne/chappell/chappell-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5be5e88b1047,,"Chappell, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-8887af81db-mc7151,/in/mooresville/morgan-county-service-extension-mooresville/,,,,,7-e4a1c59bd4-02km0q,,,402818763d5b8722013d5bdd482a0f06,,Morgan County Service Extension - Mooresville,,7-88e8a8c4ce-mjl8hp,,,7-f0d4b4e1bc-b7wkz8,7-ec8a80fdbe-46hzww
7-f694e9b1ca-jz2xrb,/ia/emmetsburg/emmetsburg-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bd347920d86,,"Emmetsburg, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-d6cbdcd1b9-7kmq4d,/ia/sidney/mills-county-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bc7ea350c12,,"Mills County, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-a8a9f4fca8-tllgwn,/ia/red-oak/red-oak-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bc17f530b61,,"Red Oak, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-e492df9598-w2bhh2,/ne/alma/alma-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bc03c050b34,,"Alma, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-ccb4f0bd87-80kccz,/ia/st-ansgar/manley-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb6179609c9,,"Manley, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-ca809c90f7-3l4sjh,/sd/clear-lake/clear-lake-sd-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb6016e09c6,,"Clear Lake, SD: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-e6dababde7-b5mdhc,7-ec8a80fdbe-46hzww
7-caa9d587e6-hsdg7b,/ia/spirit-lake/spirit-lake-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb5ead909c3,,"Spirit Lake, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-88b7e68ad5-jq5flt,/ia/montezuma/montezuma-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb5b6a909bd,,"Montezuma, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-86b796b5c4-c9djhk,/ia/onawa/onawa-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb5a3bd09ba,,"Onawa, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-86cd97c7b3-hhw53x,/ia/harlan/shelby-county-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb583b209b4,,"Shelby County, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-bac6bd92a3-phjtrp,/ia/hawarden/hawarden-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb56ec309b1,,"Hawarden, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-bed3c1b792-sz30ks,/ia/oskaloosa/oskaloosa-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb55cc209ae,,"Oskaloosa, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-fcf184a681-csbdft,/ia/logan/logan-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb52d5509a5,,"Logan, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-8cd1a0f8df-b8lkz7,/ia/creston/creston-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb50e34099f,,"Creston, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-eaa2c39dcf-vbsggr,/ia/hampton/hampton-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb4eec50999,,"Hampton, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-f8d3909cbe-whvhsf,/ia/coon-rapids/coon-rapids-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb4de2b0996,,"Coon Rapids, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-a4ceeda2ad-d6jwng,/ia/storm-lake/storm-lake-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb4ca940993,,"Storm Lake, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-928285dc9b-t802gw,/ia/missouri-valley/missouri-valley-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb4a393098d,,"Missouri Valley, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-c8f28cf88a-6hn9bh,/ia/orange-city/orange-city-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb492f9098a,,"Orange City, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-acd0e08ffa-9h777p,/ia/ida-grove/ida-grove-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb471b60984,,"Ida Grove, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-c485e09be9-8l36wl,/ia/grundy-center/grundy-county-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb460510981,,"Grundy County, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-a4939ed0d8-dbqhbv,/ia/webster-city/hamilton-county-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb449ac097e,,"Hamilton County, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-8ad5cfa6c8-0r2rh4,/ia/shenandoah/shenandoah-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb41e75097b,,"Shenandoah, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-968998cbb7-9f2dwg,/ia/indianola/indianola-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb4083e0978,,"Indianola, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-eaede2cda6-qblflr,/ne/scottsbluff/scotts-bluff-county-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb3f6d90975,,"Scotts Bluff County, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-dab2e4eb95-rsvbj5,/ia/eldora/eldora-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb3db420972,,"Eldora, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-9290a6bc85-gf6169,/ia/albia/albia-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb3a4b1096c,,"Albia, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-8cc89ee0f4-ldjgqq,/ne/tecumseh/tecumseh-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb37c780966,,"Tecumseh, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-d8d1f0b3df-mb7nhf,/ne/plattsmouth/plattsmouth-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb367790963,,"Plattsmouth, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-d8c1b3c8ce-rzqcx7,/ne/david-city/david-city-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb353360960,,"David City, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-b6e5faf2bd-f0cw07,/ne/alliance/alliance-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb32b5b095a,,"Alliance, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-86a680f5ac-w52tsp,/ne/york/york-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb317a40957,,"York, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-c6c4f8989b-vln5db,/ne/west-point/west-point-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb303220954,,"West Point, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-def1958d8b-9c06pm,/sd/murdo/murdo-sd-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb2ebf00951,,"Murdo, SD: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-e6dababde7-b5mdhc,7-ec8a80fdbe-46hzww
7-e08dd2fbfa-07t74w,/sd/beresford/beresford-sd-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb2d646094e,,"Beresford, SD: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-e6dababde7-b5mdhc,7-ec8a80fdbe-46hzww
7-a2b197d3ea-dj34zw,/sd/mobridge/mobridge-sd-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb2aa820948,,"Mobridge, SD: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-e6dababde7-b5mdhc,7-ec8a80fdbe-46hzww
7-a4b1fcc8da-bctpsg,/ia/belmond/belmond-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb2818e0942,,"Belmond, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-f6afcaa6ca-zvcgrg,/ia/clarion/clarion-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb26de7093f,,"Clarion, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-ccc1c79fba-lc8vl1,/sd/chamberlain/chamberlain-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb25d3d093c,,"Chamberlain, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-e6dababde7-b5mdhc,7-ec8a80fdbe-46hzww
7-ec98d3a4aa-gh4bzj,/ia/atlantic/cass-county-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb238cd0936,,"Cass County, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-92a1a9c8a0-5mkggn,/sd/britton/britton-sd-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb2294c0933,,"Britton, SD: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-e6dababde7-b5mdhc,7-ec8a80fdbe-46hzww
7-d0dec79790-mw83z5,/ne/auburn/auburn-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb215670930,,"Auburn, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-cef9dbfeff-xtq0wj,/ne/central-city/central-city-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb1ff3f092d,,"Central City, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-86ef8490f0-27h88v,/ne/laurel/laurel-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb1cce40927,,"Laurel, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-908a95b8df-gt9nvf,/ia/carroll/carroll-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb1bad30924,,"Carroll, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-8ce2d29fcf-01l8mw,/sd/winner/winner-sd-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb1947f091e,,"Winner, SD: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-e6dababde7-b5mdhc,7-ec8a80fdbe-46hzww
7-cee38be3be-4k9zxl,/ne/chadron/chadron-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb17cff091b,,"Chadron, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-f2f289e2ae-30bkz0,/ne/mccook/mccook-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb16b3c0918,,"McCook, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-eaa3fdea9c-kmwdwt,/ia/charles-city/charles-city-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb15a250915,,"Charles City, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-caa18be18c-xpqjwf,/ne/pawnee-city/pawnee-city-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb1465f0912,,"Pawnee City, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-bc8bcbd6fc-wll8f6,/ne/holdrege/holdredge-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb13596090f,,"Holdredge, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-94a3c7f0ec-qv0bdp,/ne/wayne/wayne-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb12317090c,,"Wayne, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-c6d5f0c6dc-91hf68,/ne/aurora/aurora-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb110a90909,,"Aurora, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-dea6dadbcc-g8rnpj,/ne/burwell/burwell-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb0fd010906,,"Burwell, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-908fcec5bc-0bkf4t,/ia/audubon/audubon-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb0e8cd0903,,"Audubon, IA: Service Extension ",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-f6c4c0d6ac-fmqg2d,/ia/clarinda/clarinda-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb0d7780900,,"Clarinda, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-b289dcf19c-brwbfz,/ne/blair/blair-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb0c56708fd,,"Blair, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-d0e8eddf8c-mz7r9f,/ne/schuyler/schuyler-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb076f908f4,,"Schuyler, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-9ea9edeefc-d5qkq6,/ne/o-neill/holt-county-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb061ea08f1,,"Holt County, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-8ef7f685ed-30lfvd,/ne/fairbury/fairbury-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb03b0908eb,,"Fairbury, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-a48fd5f4dc-1j52b9,/ne/broken-bow/broken-bow-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb0256e08e8,,"Broken Bow, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-e6e5b799cd-1dddc0,/ne/seward/seward-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb0159f08e5,,"Seward, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-f6a2be88bd-b82m48,/ne/wahoo/wahoo-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bb001c908e2,,"Wahoo, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-cacfceb2ad-19499q,/sd/redfield/redfield-sd-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5baff43c08df,,"Redfield, SD: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-e6dababde7-b5mdhc,7-ec8a80fdbe-46hzww
7-9caf81d59d-jckcj7,/ne/gothenburg/gothenburg-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bafec9b08dc,,"Gothenburg, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-88fef6e58d-s8ws48,/ne/valentine/valentine-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bafe0b408d9,,"Valentine, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-d2e5eceefd-n63lg6,/ne/ogallala/ogallala-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bafca7d08d3,,"Ogallala, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-a2c38c8eee-2vdjrf,/ne/kimball/kimball-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bafbbc708d0,,"Kimball, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-e8f3e683de-t63d90,/sd/lake-andes/lake-andes-sd-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5bafa1a708ca,,"Lake Andes, SD: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-e6dababde7-b5mdhc,7-ec8a80fdbe-46hzww
7-e0ebbef5cd-ttzgdv,/sd/yankton/yankton-sd-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5baf994b08c7,,"Yankton, SD: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-e6dababde7-b5mdhc,7-ec8a80fdbe-46hzww
7-aa82d5d4bd-9kkb0j,/sd/pierre/pierre-sd-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5baf8f0a08c4,,"Pierre, SD: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-e6dababde7-b5mdhc,7-ec8a80fdbe-46hzww
7-8c9f93a5ad-758qn1,/ia/cherokee/cherokee-ia-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5baf85f208c1,,"Cherokee, IA: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-ecabd4c29d-n0vd16,7-ec8a80fdbe-46hzww
7-deaff9aa9d-31q00b,/sd/madison/madison-sd-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5baf757708be,,"Madison, SD: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-e6dababde7-b5mdhc,7-ec8a80fdbe-46hzww
7-a0b7f0b08d-32vnn7,/sd/milbank/milbank-sd-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5baf692308bb,,"Milbank, SD: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-e6dababde7-b5mdhc,7-ec8a80fdbe-46hzww
7-9ef8f092fd-vqhs3s,/ne/ainsworth/ainsworth-ne-service-extension/,,,,,7-f29a8adafd-bgvqz8,,,402818763d5b8722013d5baf289f08a9,,"Ainsworth, NE: Service Extension",,7-88e8a8c4ce-mjl8hp,,,7-d088aaa6e1-s8hc47,7-ec8a80fdbe-46hzww
7-b6e48da3ed-zh7bts,/in/culver/marshall-county-service-extension-culver/,,,,,7-e4a1c59bd4-02km0q,,,402818763d5b8722013d5b9dc6fa0573,,Marshall County Service Extension - Culver,,7-88e8a8c4ce-mjl8hp,,,7-f0d4b4e1bc-b7wkz8,7-ec8a80fdbe-46hzww
